"","time_ahead","GAM_Predictions_CHR_Lane_1.RPM","lcl","ucl","U.S..No.2.Diesel.Retail.Prices..Weekly"
"52",2013-04-23,2.45287160323761,2.22225104700727,2.68349215946795,3.85099999999998
"521",2013-04-30,2.5157896615856,2.28824994419733,2.74332937897387,3.84500000000001
"522",2013-05-07,2.613571011508,2.39160147795322,2.83554054506278,3.86600000000001
"523",2013-05-14,2.74400751296151,2.5282015666694,2.95981345925362,3.89
"524",2013-05-21,2.88381925522298,2.6678619057862,3.09977660465976,3.88
"525",2013-05-28,2.99048400763715,2.77760240397116,3.20336561130314,3.86899999999998
"526",2013-06-04,3.06991794846029,2.85969681505793,3.28013908186265,3.84899999999999
"527",2013-06-11,3.12832609420046,2.92151809228783,3.3351340961131,3.841
"528",2013-06-18,3.12086621546769,2.91640917718503,3.32532325375035,3.83799999999998
"529",2013-06-25,3.10954995389975,2.9073593425516,3.3117405652479,3.81699999999999
"5210",2013-07-02,3.07261553350742,2.87112744611496,3.27410362089988,3.82800000000002
"5211",2013-07-09,3.03511363626267,2.83278236323817,3.23744490928717,3.86700000000003
"5212",2013-07-16,3.02112927290903,2.81839598112323,3.22386256469482,3.903
"5213",2013-07-23,2.97934790321877,2.77610311281888,3.18259269361866,3.91499999999999
"5214",2013-07-30,2.94693899066544,2.74548850807101,3.14838947325987,3.90899999999999
"5215",2013-08-06,2.91503247275108,2.71436346673463,3.11570147876753,3.89599999999999
"5216",2013-08-13,2.8960141272952,2.69540473748012,3.09662351711028,3.90000000000001
"5217",2013-08-20,2.89300715227443,2.69274740556551,3.09326689898335,3.91300000000001
"5218",2013-08-27,2.88673177131645,2.68068001129328,3.09278353133962,3.98099999999999
"5219",2013-09-03,2.85456243075349,2.64618525154743,3.06293960995955,3.98099999999999
"5220",2013-09-10,2.82731731360024,2.61846816950577,3.03616645769472,3.974
"5221",2013-09-17,2.79292450345531,2.58192160922626,3.00392739768436,3.949
"5222",2013-09-24,2.74116733322073,2.52723416549221,2.95510050094924,3.91899999999999
"5223",2013-10-01,2.6862355697718,2.46938827956298,2.90308285998062,3.897
"5224",2013-10-08,2.65153337133327,2.43619821815375,2.8668685245128,3.886
"5225",2013-10-15,2.62802364989558,2.41328263796866,2.84276466182251,3.886
"5226",2013-10-22,2.59955429725476,2.38513347996284,2.81397511454669,3.87
"5227",2013-10-29,2.56461426994622,2.35012319583891,2.77910534405352,3.85699999999997
"5228",2013-11-05,2.54342592121487,2.32943598740533,2.7574158550244,3.832
"5229",2013-11-12,2.55489973874877,2.34056493967305,2.76923453782448,3.82200000000001
"5230",2013-11-19,2.56163099494968,2.34920928143431,2.77405270846504,3.84400000000005
"5231",2013-11-26,2.56021910411792,2.34843661951733,2.77200158871851,3.88300000000001
"5232",2013-12-03,2.54712981021764,2.33525066698549,2.75900895344978,3.87899999999999
"5233",2013-12-10,2.53337231356791,2.32121816975536,2.74552645738047,3.871
"5234",2013-12-17,2.52326351477116,2.31189628647667,2.73463074306566,3.873
"5235",2013-12-24,2.53617215287002,2.32618401611822,2.74616028962182,3.90300000000001
"5236",2014-01-01,2.54013932432912,2.33140461674473,2.7488740319135,3.90999999999998
"5237",2014-01-08,2.5295203441111,2.3224772496487,2.7365634385735,3.88599999999998
"5238",2014-01-15,2.49235405924883,2.28509168408664,2.69961643441103,3.873
"5239",2014-01-22,2.44311883473317,2.23294600312253,2.65329166634381,3.90400000000004
"5240",2014-01-29,2.4139648634451,2.20463788901842,2.62329183787178,3.951
"5241",2014-02-05,2.39469032094424,2.1856653756476,2.60371526624089,3.97699999999999
"5242",2014-02-12,2.37521215952769,2.16520514847566,2.58521917057972,3.98900000000001
"5243",2014-02-19,2.36906709719246,2.15982995852852,2.57830423585639,4.017
"5244",2014-02-26,2.37374132873052,2.16445010643111,2.58303255102992,4.01600000000001
"5245",2014-03-05,2.389956994319,2.1811653340588,2.5987486545792,4.02099999999999
"5246",2014-03-12,2.43011448983517,2.21871118499556,2.64151779467477,4.00299999999999
"5247",2014-03-19,2.47587023886087,2.26381309136856,2.68792738635318,3.98799999999999
"5248",2014-03-26,2.50535282617095,2.29471022256479,2.71599542977712,3.975
"5249",2014-04-02,2.52196300093158,2.31238311129377,2.73154289056939,3.95900000000001
"5250",2014-04-09,2.55482821464944,2.34721355968408,2.76244286961481,3.95200000000001
"5251",2014-04-16,2.58721377260255,2.38101464957053,2.79341289563458,3.971
