"path","category_code","data_type","path_desc","category_desc","data_type_desc"
"ftd","BOPGS","IMP","US_Trade","Balance of Payment Goods Services","Imports: Millions of Dollars"
"ftd","BOPGS","BAL","US_Trade","Balance of Payment Goods Services","Balance: Millions of Dollars"
"ftd","BOPGS","EXP","US_Trade","Balance of Payment Goods Services","Exports: Millions of Dollars"
"ftd","BOPG","IMP","US_Trade","Balance of Payment Goods","Imports: Millions of Dollars"
"ftd","BOPG","BAL","US_Trade","Balance of Payment Goods","Balance: Millions of Dollars"
"ftd","BOPG","EXP","US_Trade","Balance of Payment Goods","Exports: Millions of Dollars"
"hv","RATE","HVR","Housing Ownership","Rate","imports: Millions of Dollars"
"hv","RATE","SAHOR","Housing Ownership","Rate","Seasonally Adjusted Homeownership Rate: Percent"
"hv","RATE","RVR","Housing Ownership","Rate","Rental Vacancy Rate: Percent"
"hv","RATE","HOR","Housing Ownership","Rate","Homeownership Rate: Percent"
"hv","ESTIMATE","RNTOCC","Housing Ownership","Housing Inventory Estimate","Renter Occupied Housing Units: Thousands of Units"
"hv","ESTIMATE","TOTAL","Housing Ownership","Housing Inventory Estimate","Total Housing Units: Thousands of Units"
"hv","ESTIMATE","URE","Housing Ownership","Housing Inventory Estimate","Vacant Housing Units Held Off the Market: Thousands of Units"
"hv","ESTIMATE","RNTSLD","Housing Ownership","Housing Inventory Estimate","Vacant Housing Units Rented or Sold: Thousands of Units"
"hv","ESTIMATE","SEASON","Housing Ownership","Housing Inventory Estimate","Seasonal Housing Units :Thousands of Units"
"hv","ESTIMATE","OCCUSE","Housing Ownership","Housing Inventory Estimate","Vacant Housing Units Held Off the Market and For Occasional Use :Thousands of Units"
"hv","ESTIMATE","SALE","Housing Ownership","Housing Inventory Estimate","Vacant Housing Units for Sale :Thousands of Units"
"hv","ESTIMATE","VACANT","Housing Ownership","Housing Inventory Estimate","Vacant Housing Units :Thousands of Units"
"hv","ESTIMATE","OCC","Housing Ownership","Housing Inventory Estimate","Occupied Housing Units :Thousands of Units"
"hv","ESTIMATE","RENT","Housing Ownership","Housing Inventory Estimate","Vacant Housing Units for Rent :Thousands of Units"
"hv","ESTIMATE","OFFMAR","Housing Ownership","Housing Inventory Estimate","Vacant Housing Units Held Off the Market :Thousands of Units"
"hv","ESTIMATE","OTH","Housing Ownership","Housing Inventory Estimate","Vacant Housing Units Held Off the Market and Vacant for Other Reasons :Thousands of Units"
"hv","ESTIMATE","OWNOCC","Housing Ownership","Housing Inventory Estimate","Owner Occupied Housing Units :Thousands of Units"
"hv","ESTIMATE","YRVAC","Housing Ownership","Housing Inventory Estimate","Year-Round Vacant Housing Units :Thousands of Units"
